Namespace	Id	Aktiv	Hemlig	Namn	Ansvarigt datav�rdskap	Ansvarig organisation	Ansvarig organisation e-post	Anv�ndande datav�rdskap	Media	Position N	Position E	Synonymer	EU_CD	L�nsID	Sj�-Id_SMHI_sj�register	Sj�ID_RI	VdrID_RI	�ldreProvplatsID	Kommentar
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157343	SANT	FALSKT	K2 V�STRA FJ�RDEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6223635	531937			10					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135404	SANT	FALSKT	BY15 GOTLANDSDJ	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6365777	803864	"BY15; BY15  GOTLANDSDJ; BY15  GOTLANDSDJUPET; BY15 GOTLANDSDJ; BY15 GOTLANDSDJUPET"	SE636437-175555						VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135397	SANT	FALSKT	ENSK�R	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6507952	642947	29	SE650848-159632	04					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135752	SANT	FALSKT	MS6	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6879334	718250								VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135328	SANT	FALSKT	P206	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6120681	413069		SE612379-136179	12					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135504	SANT	FALSKT	N 6-3	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	7223891	827411			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156893	SANT	FALSKT	L17	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6209699	474284			10					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156873	SANT	FALSKT	F�R�SUND	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6393601	696760			09					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157060	SANT	FALSKT	L�VSTABUKTEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7042615	744412			24					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135553	SANT	FALSKT	X5	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6470096	613481			05					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157320	SANT	FALSKT	S68 / S VAXHOLMSFJ	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6589056	691463			01					VAL-2018-05-14
